Country/Territory,GDP(US$million),Rank
World[22],"87,445,260",
United States,"21,433,226",1
China[n 9],"14,342,933",2
Japan,"5,082,465",3
Germany,"3,861,123",4
India,"2,891,582",5
United Kingdom,"2,826,441",6
France,"2,715,518",7
Italy,"2,003,576",8
Brazil,"1,847,795",9
Canada,"1,741,496",10
Russia[n 4],"1,692,930",11
South Korea,"1,646,539",12
Spain,"1,393,490",13
Australia,"1,380,207",14
Mexico,"1,256,440",15
Indonesia,"1,119,190",16
Netherlands,"907,050",17
Saudi Arabia,"792,966",18
Turkey,"761,425",19
Switzerland,"731,425",20
Iran,"603,779",21
Poland,"595,862",22
Thailand,"542,016",23
Belgium,"533,097",24
Sweden,"530,883",25
Nigeria,"474,516",26
Argentina,"449,663",27
Austria,"445,075",28
United Arab Emirates,"421,142",29
Norway,"403,336",30
Ireland,"398,590",31
Israel,"395,098",32
Singapore,"372,073",33
Hong Kong (China),"365,710",34
Malaysia,"364,684",35
Philippines,"359,354",36
South Africa,"351,430",37
Denmark,"350,104",38
Colombia,"323,802",39
Egypt,"317,359",40
Bangladesh,"301,051",41
Chile,"282,318",42
Finland,"269,296",43
Vietnam,"261,921",44
Pakistan,"256,996",45
Czech Republic,"250,680",46
Romania,"250,075",47
Portugal,"238,785",48
Peru,"226,850",49
Iraq,"225,232",50
New Zealand,"206,936",51
Greece,"205,326",52
Qatar,"183,466",53
Kazakhstan,"181,667",54
Algeria,"171,157",55
Hungary,"163,469",56
Ukraine,"153,781",57
Venezuela,"134,960",58
Kuwait,"134,623",59
Morocco,"119,700",60
Ecuador,"107,435",61
Cuba,"105,354",62
Slovakia,"105,079",63
Puerto Rico (United States),"104,988",64
Kenya,"95,501",65
Ethiopia,"92,750",66
Dominican Republic,"88,941",67
Angola,"85,000",68
Sri Lanka,"84,008",69
Myanmar,"76,784",70
Guatemala,"76,710",71
Oman,"76,331",72
Luxembourg,"71,104",73
Bulgaria,"67,925",74
Ghana,"66,999",75
Panama,"66,787",76
Belarus,"63,080",77
Costa Rica,"61,773",78
Tanzania,"61,136",79
Croatia,"60,415",80
Côte d'Ivoire,"58,539",81
Lebanon,"56,409",82
Uruguay,"56,045",83
Uzbekistan,"57,921",84
Lithuania,"54,627",85
Slovenia,"54,174",86
Macau (China),"53,859",87
Serbia,"51,475",88
Turkmenistan,"48,276",89
Azerbaijan,"48,047",90
"Congo, Democratic Republic of the","47,319",91
Jordan,"44,502",92
Bolivia,"40,895",93
Cameroon,"38,861",94
Tunisia,"38,797",95
Bahrain,"38,574",96
Paraguay,"38,086",97
Sudan,"34,895",98
Latvia,"34,102",99
Uganda,"32,609",100
Libya,"32,600",101
Estonia,"31,471",102
Nepal,"30,714",103
Cambodia,"27,097",104
El Salvador,"27,022",105
Honduras,"25,095",106
Papua New Guinea,"24,969",107
Yemen,"24,935",108
Cyprus,"24,565",109
Iceland,"24,188",110
Senegal,"23,664",111
Trinidad and Tobago,"23,208",112
Zambia,"23,085",113
Zimbabwe,"21,440",114
Syria,"20,379",115
Bosnia and Herzegovina,"20,164",116
Laos,"18,822",117
Botswana,"18,340",118
Afghanistan,"17,876",119
Georgia,"17,742",120
Mali,"17,432",121
Palestine,"17,058",122
Gabon,"16,887",123
"Korea, North","16,331",124
Burkina Faso,"15,990",125
Jamaica,"15,830",126
Mozambique,"15,296",127
Albania,"15,278",128
Malta,"14,863",129
Benin,"14,403",130
Mauritius,"14,180",131
Madagascar,"14,104",132
Mongolia,"13,852",133
Armenia,"13,672",134
"Bahamas, The","13,578",135
Brunei,"13,469",136
Niger,"12,927",137
North Macedonia,"12,694",138
Nicaragua,"12,520",139
"Congo, Republic of the","12,397",140
Namibia,"12,366",141
Guinea,"12,354",142
Moldova,"11,955",143
Chad,"11,271",144
Equatorial Guinea,"11,024",145
Rwanda,"10,355",146
New Caledonia (France),"9,879",147
Kyrgyzstan,"8,454",148
Tajikistan,"8,333",149
Malawi,"8,099",150
Haiti,"8,051",151
Kosovo,"7,952",152
Mauritania,"7,593",153
Monaco,"7,423",154
Bermuda (United Kingdom),"7,361",155
Togo,"7,270",156
Liechtenstein,"6,797",157
French Polynesia (France),"6,023",158
Cayman Islands (UK),"6,020",159
Maldives,"5,642",160
Montenegro,"5,542",161
Fiji,"5,504",162
Barbados,"5,209",163
Guyana,"5,173",164
South Sudan,"4,959",165
Eswatini,"4,594",166
Sierra Leone,"4,121",167
Suriname,"3,697",168
Aruba (Netherlands),"3,293",169
Djibouti,"3,166",170
Andorra,"3,154",172
Curaçao (Netherlands),"3,101",173
Greenland (Denmark),"3,023",174
Burundi,"3,002",175
Liberia,"2,582",176
Bhutan,"2,564",177
Lesotho,"2,460",178
Central African Republic,"2,220",179
Saint Lucia,"2,122",180
Timor-Leste,"2,017",181
Eritrea,"1,981",182
Cape Verde,"1,981",183
Belize,"1,906",184
"Gambia, The","1,822",185
Zanzibar (Tanzania),"1,805",186
Seychelles,"1,698",187
Antigua and Barbuda,"1,661",188
Somalia,"1,626",189
San Marino,"1,602",190
Guinea-Bissau,"1,322",191
Solomon Islands,"1,302",192
British Virgin Islands (United Kingdom),"1,296",193
Grenada,"1,211",194
Turks and Caicos Islands (United Kingdom),"1,197",195
Comoros,"1,165",196
Saint Kitts and Nevis,"1,050",197
Sint Maarten (Netherlands),"1,009",198
Vanuatu,906,199
Samoa,844,200
Saint Vincent and the Grenadines,825,201
Dominica,582,202
Tonga,508,203
São Tomé and Príncipe,421,204
"Micronesia, Federated States of",414,205
Cook Islands (New Zealand),379,206
Anguilla (United Kingdom),379,207
Palau,280,208
Marshall Islands,237,209
Kiribati,194,210
Nauru,132,211
Montserrat (United Kingdom),67,212
Tuvalu,47,213
