Country/Territory,GDP(US$million),Rank
World,"87,798,526",
United States,"21,433,226",1
China[n 9],"14,342,903",2
Japan,"5,081,770",3
Germany,"3,861,124",4
India,"2,868,929",5
United Kingdom,"2,829,108",6
France,"2,715,518",7
Italy,"2,003,576",8
Brazil,"1,839,758",9
Canada,"1,736,426",10
Russia[n 4],"1,699,877",11
South Korea,"1,646,739",12
Australia,"1,396,567",13
Spain,"1,393,491",14
Mexico,"1,268,871",15
Indonesia,"1,119,191",16
Netherlands,"907,051",17
Saudi Arabia,"792,967",18
Turkey,"761,425",19
Switzerland,"703,082",20
Poland,"595,858",21
Taiwan (2017),"574,905",22
Thailand,"543,549",23
Belgium,"533,097",24
Sweden,"530,884",25
Nigeria,"448,120",26
Argentina,"445,445",27
Austria,"445,075",28
Iran (2017),"445,345",29
United Arab Emirates,"421,142",30
Norway,"403,336",31
Israel,"394,652",32
Ireland,"388,699",33
Philippines,"376,796",34
Singapore,"372,063",35
Hong Kong (China),"365,712",36
Malaysia,"364,681",37
South Africa,"351,432",38
Denmark,"350,104",39
Colombia,"323,616",40
Egypt,"303,092",41
Bangladesh,"302,571",42
Chile,"282,318",43
Pakistan,"278,222",44
Finland,"269,296",45
Vietnam,"261,921",46
Czech Republic,"250,681",47
Romania,"250,077",48
Portugal,"238,785",49
Iraq,"234,094",50
Peru,"226,848",51
Greece,"209,853",52
New Zealand,"206,929",53
Kazakhstan,"181,666",54
Qatar,"175,838",55
Algeria,"171,091",56
Hungary,"163,469",57
Ukraine,"153,781",58
Kuwait,"134,629",59
Morocco[n 10],"119,700",60
Ecuador,"107,436",61
Slovak Republic,"105,080",62
Puerto Rico (United States),"104,989",63
Cuba (2018),"100,023",64
Ethiopia,"95,913",65
Kenya,"95,503",66
Dominican Republic,"88,941",67
Angola,"88,816",68
Sri Lanka,"84,009",69
Guatemala,"76,710",70
Oman,"76,332",71
Myanmar,"76,086",72
Luxembourg,"71,105",73
Bulgaria,"68,559",74
Ghana,"66,984",75
Panama,"66,801",76
Tanzania[n 11],"63,177",77
Belarus,"63,080",78
Costa Rica,"61,801",79
Croatia,"60,753",80
Cote d'Ivoire,"58,539",81
Uzbekistan,"57,921",82
Uruguay,"56,046",83
Lithuania,"54,627",84
Slovenia,"54,174",85
Macau (China),"53,859",86
Libya,"52,091",87
Lebanon,"51,992",88
Serbia,"51,475",89
"Congo, Democratic Republic of the","50,401",90
Azerbaijan,"48,048",91
Jordan,"44,503",92
Bolivia,"40,895",93
Turkmenistan (2018),"40,761",94
Cameroon,"39,007",95
Tunisia,"38,797",96
Bahrain,"38,574",97
Paraguay,"38,145",98
Uganda,"35,165",99
Latvia,"34,103",100
Estonia,"31,471",101
Nepal,"30,641",102
Sudan,"30,513",103
Cambodia,"27,089",104
El Salvador,"27,023",105
Honduras,"25,095",106
Cyprus[n 12],"24,949",107
Papua New Guinea,"24,829",108
Trinidad and Tobago,"24,270",109
Iceland,"24,188",110
Senegal,"23,578",111
Zambia,"23,310",112
Zimbabwe,"21,441",113
Bosnia and Herzegovina,"20,164",114
Afghanistan,"19,291",115
Botswana,"18,340",116
Laos,"18,174",117
Georgia[n 13],"17,477",118
Mali,"17,280",119
Gabon,"16,874",120
Jamaica,"16,458",121
Burkina Faso,"15,991",122
Mozambique,"15,291",123
Albania,"15,279",124
Malta,"14,989",125
Palestine (2018)[n 8],"14,616",126
Benin,"14,391",127
Haiti,"14,332",128
Madagascar,"14,115",129
Mauritius,"14,048",130
Mongolia,"13,997",131
Armenia,"13,673",132
"Bahamas, The","13,579",133
Brunei,"13,469",134
Niger,"12,912",135
North Macedonia,"12,547",136
Nicaragua,"12,521",137
Namibia,"12,367",138
Guinea,"12,297",139
"Congo, Republic of the","12,267",140
Moldova[n 14],"11,969",141
Chad,"11,315",142
Equatorial Guinea,"11,027",143
Rwanda,"10,354",144
Kyrgyzstan,"8,455",145
Tajikistan,"8,117",146
Kosovo,"7,926",147
Malawi,"7,667",148
Mauritania,"7,601",149
Maldives,"5,642",150
Montenegro,"5,543",151
Fiji,"5,496",152
Togo,"5,490",153
Barbados,"5,209",154
Guyana,"5,174",155
Eswatini,"4,472",156
Sierra Leone,"4,122",157
Suriname,"3,697",158
Djibouti,"3,325",159
Andorra,"3,154",160
Liberia,"3,071",161
Burundi,"3,012",162
Bhutan,"2,531",163
Lesotho,"2,376",164
Central African Republic,"2,220",165
Saint Lucia,"2,122",166
Timor-Leste,"2,018",167
Cabo Verde,"1,982",168
Belize,"1,880",169
"Gambia, The","1,826",170
Seychelles,"1,703",171
Antigua and Barbuda,"1,662",172
San Marino (2018),"1,638",173
Solomon Islands,"1,590",174
Guinea-Bissau,"1,339",175
Grenada,"1,211",176
Comoros,"1,166",177
Saint Kitts and Nevis,"1,053",178
Vanuatu,934,179
Samoa,852,180
Saint Vincent and the Grenadines,825,181
Dominica,582,182
Tonga,512,183
Sao Tome and Principe,419,184
"Micronesia, Federated States of (2018)",402,185
Palau,268,186
Marshall Islands (2018),221,187
Kiribati,195,188
Nauru,118,189
Tuvalu,47,190
